Date,UBSFY,EA,TTWO,,FTSE,,ATVI,NTDOY,SNE
2020/5/26,15.2,116.639999,130.199997,,6218.799805,,70,51.349998,62.18
2020/5/27,14.59,117.379997,134.520004,,6076.600098,,70.150002,51.27,62.970001
2020/5/28,14.9,121.349998,134.070007,,6166.399902,,70.220001,51.200001,64.580002
2020/5/29,15.43,122.879997,136.169998,,6220.100098,,71.980003,50.84,64.760002
2020/6/1,15.66,122.779999,136.220001,,6382.399902,,72.989998,51.810001,65.489998
2020/6/2,15.65,122.360001,134.600006,,6341.399902,,72.980003,50.650002,66.75
2020/6/3,15.33,117.93,129.300003,,6484.299805,,69.919998,51.450001,66.790001
2020/6/4,15.4,117.18,127.589996,,6472.600098,,69.809998,52.09,66.18
2020/6/5,15.14,118.32,128.910004,,6335.700195,,69.43,52.720001,67.309998
2020/6/8,15.24,119.510002,134.800003,,6329.100098,,70.730003,51.720001,68.559998
2020/6/9,15.2,121.07,134.410004,,6076.700195,,72,52.349998,68.449997
2020/6/10,15.52,124.809998,137.309998,,6105.200195,,73.82,52.740002,70.510002
2020/6/11,15.11,122.419998,134.919998,,6064.700195,,71.279999,53.849998,67.370003
2020/6/12,15.07,121.970001,134,,6242.799805,,71.68,55.400002,68.290001
2020/6/15,15,126.519997,137.149994,,6253.299805,,73.190002,54.990002,69.730003
2020/6/16,15.29,125.730003,135.669998,,6224.100098,,73,55.700001,69.349998
2020/6/17,15.31,128.110001,138.919998,,6292.600098,,75.529999,57.43,71.580002
2020/6/18,15.32,129.350006,141.25,,6244.600098,,76.010002,58.540001,71.550003
2020/6/19,15.26,130.190002,142.610001,,6320.100098,,76.580002,58.59,70.980003
2020/6/22,15.51,129.720001,141.139999,,6123.700195,,76.120003,58.5,71.709999
2020/6/23,15.64,130.600006,143.369995,,6147.100098,,76.449997,56.82,71.639999
2020/6/24,15.71,130.869995,139.869995,,6159.299805,,75.580002,56.439999,70.650002
2020/6/25,15.86,130.740005,140.399994,,6225.799805,,76.209999,55.93,71
2020/6/26,15.74,130.929993,141.179993,,6169.700195,,76.400002,56.200001,69.68
2020/6/29,15.71,130.690002,137.789993,,6158,,75.5,56.02,68.720001
2020/6/30,16.51,132.050003,139.570007,,6240.399902,,75.900002,55.900002,69.129997
2020/7/1,17.24,135.220001,144.110001,,6157.299805,,78.029999,56,70.389999
2020/7/2,16.99,133.839996,144.399994,,6285.899902,,77.510002,56.369999,70.230003
2020/7/6,17.620001,134.270004,145.679993,,6189.899902,,78.669998,58.779999,70.529999
2020/7/7,17.559999,134.779999,147.270004,,6156.200195,,78.5,59.650002,69.160004
2020/7/8,18.139999,135.610001,147.820007,,6049.600098,,79.279999,58.32,69.790001
2020/7/9,17.809999,138.770004,150.759995,,6095.399902,,80.639999,57.900002,71.529999
