date,SMB,HML
2003-12-31,0.026640463894070335,0.05997043486881746
2004-01-31,0.04680686591109262,0.041291587623498216
2004-02-29,0.018170093738158397,0.02963535113566436
2004-03-31,-0.005161154848752111,-0.021280396406198568
2004-04-30,0.01461727923407991,-0.007329815233719875
2004-05-31,-0.019362181668031983,-0.023861268634279897
2004-06-30,-0.04668381587602146,0.003061769308407257
2004-07-31,-0.01631761179357196,0.016811372515170606
2004-08-31,-0.004033353934557581,0.009743120612388134
2004-09-30,-0.030441007165481218,-0.05689013366594235
2004-10-31,0.04310178193358759,0.03116747863731292
2004-11-30,-0.024997800032037276,-0.027333549431618316
2004-12-31,-0.017843362887547745,-0.03036337333516892
2005-01-31,0.013630875516969898,0.04488661986061202
2005-02-28,-0.030502755466963363,-0.0640549121674552
2005-03-31,-0.07433710805159019,-0.052292434386510545
2005-04-30,0.046928826736960624,0.03269015900451937
2005-05-31,-0.010045205599094704,-0.00767624775461283
2005-06-30,-0.07779635541076683,-0.038984371211151066
2005-07-31,0.10962026895059918,0.0752507901920705
2005-08-31,0.027401121878265735,-0.013755677728470651
2005-09-30,-0.013496216273230631,-0.03573928243531241
2005-10-31,0.031584777415419873,0.02500652961481585
2005-11-30,-0.05448993890804514,0.012033721554072282
2005-12-31,-0.03230328342985368,0.03382972258188993
2006-01-31,0.0015599009005535514,0.030694898517020248
2006-02-28,-0.02255343586238442,-0.012164706225662
2006-03-31,-0.048453744112411976,0.001792153226930604
2006-04-30,0.08908053548090308,0.11800101154000919
2006-05-31,0.0892779727557276,0.012509976803465911
2006-06-30,0.06244655977441828,-0.017039513601244217
2006-07-31,-0.009582483257185831,0.003794510797091949
2006-08-31,0.01739585157613681,-0.0049627889204592185
2006-09-30,-0.04063133134827574,0.03503986201160818
2006-10-31,-0.1332160265947064,0.004008628528909229
2006-11-30,-0.1233916716270681,0.008790095686176502
2006-12-31,0.05392611231861236,0.14034783381664664
2007-01-31,0.08451673311581638,0.1590269820077351
2007-02-28,0.1007432431171322,0.09395104356505433
2007-03-31,0.03607688886029775,0.1932148764586629
2007-04-30,0.005867248212190368,0.018547805342255155
2007-05-31,-0.09796716157740508,-0.0947657189344924
2007-06-30,0.04952608979749662,0.12822245204421368
2007-07-31,-0.040907319285086466,0.06573287204975724
2007-08-31,-0.017718642311523723,0.04551259085959023
2007-09-30,-0.08316531946133847,-0.06551930373544947
2007-10-31,0.10184371120157133,0.0158464205333117
2007-11-30,0.03372613275728645,0.09484948167395713
2007-12-31,0.058320093895457996,0.008076130130637689
2008-01-31,0.07042211004038772,0.062454997563033424
2008-02-29,0.0176078206241449,-0.05370288797770392
2008-03-31,-0.10622849300694445,0.01942480174036995
2008-04-30,0.0628046313041348,-0.002514328640592242
2008-05-31,-0.022906733732131396,-0.11124314510549227
2008-06-30,0.0758510889099735,0.05352305097874549
2008-07-31,-0.050986080501018716,-0.0440381506210524
2008-08-31,-0.046168441237668605,0.05338243305580029
2008-09-30,0.009301458086439007,-0.08209739750675743
2008-10-31,0.07455869752739602,0.1124145876969045
2008-11-30,0.09371765344716819,-0.024211977308689347
2008-12-31,0.035176673021211025,0.10255551762771435
2009-01-31,0.0322625074601194,0.05636735818181271
2009-02-28,0.05908442610205997,0.07379965745178044
2009-03-31,0.036186113979815436,0.028682389735901544
2009-04-30,0.03683737626908095,0.043333055961067006
2009-05-31,-0.04596123240945127,0.04636597199375403
2009-06-30,-0.03701059816877161,0.09254004697813759
2009-07-31,0.06705747332007006,-0.07715065120419386
2009-08-31,-0.01826071434212307,0.018139873404742372
2009-09-30,0.028175714867537616,0.034089477822584105
2009-10-31,0.07798309257053718,0.04355898536419679
2009-11-30,0.012148520031135548,0.055180026844325956
2009-12-31,0.0631014525420455,-0.023999305288332155
2010-01-31,0.04897111979669026,0.015165578744844851
2010-02-28,0.04158471445745311,0.01156089264879974
2010-03-31,-0.006995655717862759,-0.04655100080681984
2010-04-30,-0.013756359763551246,-0.07292470947497262
2010-05-31,0.0007211863638090232,-0.014552019783926805
2010-06-30,0.037102872146709515,0.06490715520197757
2010-07-31,0.051371474523348504,-0.04365875177292969
2010-08-31,-0.029236432532629513,-0.026687500869544523
2010-09-30,-0.04694741518563805,0.05880005266412167
2010-10-31,0.07392006189376386,-0.0352724940141711
2010-11-30,-0.005035320165156291,0.010598898274923798
2010-12-31,-0.01080050561241696,0.042889796766934704
2011-01-31,0.03315300062078916,0.0054332107487293085
2011-02-28,0.009249389296626689,0.0347661332816922
2011-03-31,-0.015686872782521864,0.006684897404249837
2011-04-30,-0.0058585680581692,-0.020482527279408684
2011-05-31,0.008332384506970124,-0.0029376948659376456
2011-06-30,0.03190025062316028,-0.03157108435999249
2011-07-31,0.02610943760999075,-0.02215452846186069
2011-08-31,-0.012797611886227772,-0.0015735937763057817
2011-09-30,0.006236794862263043,0.026057407383659095
2011-10-31,0.010887593904198217,-0.03057048297212882
2011-11-30,-0.07464773817539476,0.02501813301013954
2011-12-31,-0.03741682489875512,0.037502461498812284
2012-01-31,0.06640212246292379,0.014127349626085112
2012-02-29,-0.0018562743156054357,-0.023278786510304864
2012-03-31,0.0019473785340870103,0.021031173749441343
2012-04-30,0.020127545080414637,-0.013173685344781175
2012-05-31,0.0002826284164680684,-0.022009780683812194
2012-06-30,-0.04602297811872084,-0.02581280267022263
2012-07-31,0.07889076738817963,0.0027156437503804438
2012-08-31,-0.030969426038861554,-0.006498547642789877
2012-09-30,0.017940483950139637,0.006671506888407806
2012-10-31,-0.04202517553175775,0.018408317156827655
