date,SMB,HML,MKT
2006-10-31,-0.1332160265947064,0.004008628528909229,-2.5739979614861497
2006-11-30,-0.1233916716270681,0.008790095686176502,-3.0275295745241477
2006-12-31,0.05392611231861236,0.14034783381664664,-2.3448660056187225
2007-01-31,0.08451673311581638,0.1590269820077351,-2.332804743175068
2007-02-28,0.1007432431171322,0.09395104356505433,-2.348694374778768
2007-04-30,0.005867248212190368,0.018547805342255155,-2.4475900207201
2007-05-31,-0.09796716157740508,-0.0947657189344924,-3.1679980817766866
2007-07-31,-0.040907319285086466,0.06573287204975724,-2.847719613123994
2007-08-31,-0.017718642311523723,0.04551259085959023,-2.8422962599002966
2007-09-30,-0.08316531946133847,-0.06551930373544947,-3.236618948512784
2007-10-31,0.10184371120157133,0.0158464205333117,-3.7798790311290684
2007-11-30,0.03372613275728645,0.09484948167395713,-4.340379595378237
2008-01-31,0.07042211004038772,0.062454997563033424,-3.457273208657003
2008-02-29,0.0176078206241449,-0.05370288797770392,-3.7201864512819456
2008-03-31,-0.10622849300694445,0.01942480174036995,-3.339690752084136
2008-04-30,0.0628046313041348,-0.002514328640592242,-3.4658661735470013
2008-06-30,0.0758510889099735,0.05352305097874549,-3.649392344982831
2008-07-31,-0.050986080501018716,-0.0440381506210524,-3.5896151300322434
2008-10-31,0.07455869752739602,0.1124145876969045,-2.821488719100954
2008-12-31,0.035176673021211025,0.10255551762771435,-1.0701154810289641
2009-03-31,0.036186113979815436,0.028682389735901544,-0.9555810025678639
2009-04-30,0.03683737626908095,0.043333055961067006,-0.9532335426656292
2009-05-31,-0.04596123240945127,0.04636597199375403,-0.9538348827508838
2009-06-30,-0.03701059816877161,0.09254004697813759,-1.1354852367502206
2009-07-31,0.06705747332007006,-0.07715065120419386,-1.9105134095621668
2009-08-31,-0.01826071434212307,0.018139873404742372,-1.568581822387001
2009-09-30,0.028175714867537616,0.034089477822584105,-1.6248303697085957
2009-11-30,0.012148520031135548,0.055180026844325956,-1.7018508379617052
2009-12-31,0.0631014525420455,-0.023999305288332155,-1.828984155681122
2010-03-31,-0.006995655717862759,-0.04655100080681984,-1.8130088465136969
2010-04-30,-0.013756359763551246,-0.07292470947497262,-1.8372387266752628
2010-05-31,0.0007211863638090232,-0.014552019783926805,-2.585826322968023
2010-06-30,0.037102872146709515,0.06490715520197757,-3.7358166784375184
2010-08-31,-0.029236432532629513,-0.026687500869544523,-2.8373399548441975
2010-09-30,-0.04694741518563805,0.05880005266412167,-3.413308227084322
2010-11-30,-0.005035320165156291,0.010598898274923798,-3.730072110185247
2010-12-31,-0.01080050561241696,0.042889796766934704,-6.222282428892662
2011-01-31,0.03315300062078916,0.0054332107487293085,-8.038035951869123
2011-02-28,0.009249389296626689,0.0347661332816922,-4.761182952977047
2011-03-31,-0.015686872782521864,0.006684897404249837,-3.625425895434338
2011-05-31,0.008332384506970124,-0.0029376948659376456,-4.59249559860083
2011-06-30,0.03190025062316028,-0.03157108435999249,-7.543729809551314
2011-08-31,-0.012797611886227772,-0.0015735937763057817,-5.52339806769357
2011-09-30,0.006236794862263043,0.026057407383659095,-5.8735055997998025
2011-10-31,0.010887593904198217,-0.03057048297212882,-5.951210613737729
2011-11-30,-0.07464773817539476,0.02501813301013954,-4.955118213741427
2011-12-31,-0.03741682489875512,0.037502461498812284,-6.006074926155777
2012-01-31,0.06640212246292379,0.014127349626085112,-5.234187633212526
2012-02-29,-0.0018562743156054357,-0.023278786510304864,-4.716967967356814
2012-03-31,0.0019473785340870103,0.021031173749441343,-4.152978145435378
2012-05-31,0.0002826284164680684,-0.022009780683812194,-3.0190305269385806
2012-07-31,0.07889076738817963,0.0027156437503804438,-3.3246995848618424
2012-08-31,-0.030969426038861554,-0.006498547642789877,-3.6426172904724727
2012-10-31,-0.04202517553175775,0.018408317156827655,-4.326507141556169
2012-11-30,0.01704607436415495,0.05464906375392069,-3.690549289975989
2012-12-31,0.027376711131402075,0.024575452618462716,-4.8355400254654635
2013-01-31,0.04154509668318137,-0.003151483956584534,-4.161514806516829
2013-02-28,0.027100063246376874,-0.03542204167452629,-4.523306107561572
2013-05-31,-0.01617926862529892,-0.06324715917198694,-4.16688178395034
2013-07-31,0.04554034942714207,0.039233070475562105,-5.254307602698581
2013-09-30,0.015353353880208268,0.03398503838934679,-5.322357580722155
2013-10-31,0.047735986623626644,0.005364776419505349,-5.248583183890235
2013-12-31,0.04658093969489391,-0.051911289777106594,-5.891117117504147
2014-02-28,0.02030247471516391,0.047160807743816244,-4.340333005761769
2014-03-31,-0.0002770638394684992,-0.003620510747599546,-4.628841493443558
2014-04-30,0.022762014023593923,-0.005044218670455718,-4.574648317435488
2014-06-30,0.001387894778935514,0.06836225899088522,-4.929232137403265
2014-07-31,0.052794829898131265,-0.006837515013143766,-4.13996401216204
2014-09-30,0.004698170086894436,0.02276616421355752,-3.9784186669248087
2014-10-31,-0.008698138893130328,0.06787562052134058,-3.92851967933998
2014-12-31,0.061238146898305174,-0.034778128263743754,-5.513260278337445
2015-02-28,0.07823644681663663,0.036426350476675,-4.860986458923577
2015-03-31,0.017602037075556742,0.08051376462987148,-4.827621697841555
2015-04-30,0.23357423709792585,-0.03388449462758475,-3.1639096802379356
2015-06-30,-0.02926696330831663,-0.050319716595304265,-3.672838303149491
2015-07-31,0.02229572132785615,-0.008120201152190962,-3.1183114096688103
2015-08-31,0.03198449359911873,-0.01758812246801637,-3.0660493562115705
2015-09-30,0.10949568147113647,0.04192810883521603,-2.8884606540983633
2015-11-30,0.06673622721150801,0.04512565685089019,-2.6319226741161796
