code,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,v_ma5,v_ma10,v_ma20,turnover
000001,08/01/2017,10.64,11.08,11.04,10.6,2035709.88,0.37,3.47,10.756,10.868,1464534.43,1594153.94,1825997.37,1.2
000001,08/02/2017,11.05,11.34,11.15,10.96,2062069.12,0.11,1.0,10.838,10.874,1537465.83,1607053.26,1900714.83,1.22
000001,08/03/2017,11.14,11.22,11.01,10.97,984219.38,-0.14,-1.26,10.922,10.878,1495411.63,1551741.35,1912980.21,0.58

