code,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,v_ma5,v_ma10,v_ma20,turnover
000001,2017-08-01,10.64,11.08,11.04,10.6,2035709.88,0.37,3.47,10.756,10.868,1464534.43,1594153.94,1825997.37,1.2
000001,2017-08-02,11.05,11.34,11.15,10.96,2062069.12,0.11,1.0,10.838,10.874,1537465.83,1607053.26,1900714.83,1.22
000001,2017-08-03,11.14,11.22,11.01,10.97,984219.38,-0.14,-1.26,10.922,10.878,1495411.63,1551741.35,1912980.21,0.58
000001,2017-08-04,11.0,11.29,11.17,10.93,1353951.5,0.16,1.45,11.008,10.906,1602362.85,1537034.5,1942659.3,0.8
000001,2017-08-07,11.06,11.17,11.0,10.9,860644.25,-0.17,-1.52,11.074,10.911,1459318.83,1453832.48,1917650.72,0.51
000001,2017-08-08,11.0,11.11,11.05,10.91,689567.44,0.05,0.46,11.076,10.916,1190090.34,1327312.38,1761524.75,0.41
000001,2017-08-09,10.96,11.02,10.73,10.68,1042321.81,-0.32,-2.9,10.992,10.915,986140.88,1261803.35,1663698.63,0.62
000001,2017-08-10,10.7,10.82,10.62,10.54,959880.0,-0.11,-1.02,10.914,10.918,981273.0,1238342.31,1561965.91,0.57
000001,2017-08-11,10.48,10.54,10.02,9.99,2440643.25,-0.6,-5.65,10.684,10.846,1198611.35,1400487.1,1597869.56,1.44
000001,2017-08-14,10.13,10.25,10.22,10.04,1157664.62,0.2,2.0,10.528,10.801,1258015.42,1358667.13,1492096.63,0.68
000001,2017-08-15,10.24,10.51,10.31,10.21,1075162.38,0.09,0.88,10.38,10.728,1335134.41,1262612.38,1428383.16,0.64
000001,2017-08-16,10.29,10.37,10.34,10.15,756806.0,0.03,0.29,10.302,10.647,1278031.25,1132086.06,1369569.66,0.45
000001,2017-08-17,10.35,10.42,10.42,10.29,553642.12,0.08,0.77,10.262,10.588,1196783.67,1089028.34,1320384.84,0.33
000001,2017-08-18,10.36,10.6,10.44,10.29,616520.38,0.02,0.19,10.346,10.515,831959.1,1015285.23,1276159.86,0.36
000001,2017-08-21,10.43,10.52,10.46,10.39,399154.88,0.02,0.19,10.394,10.461,680257.15,969136.29,1211484.38,0.24
000001,2017-08-22,10.48,10.66,10.65,10.37,875681.81,0.19,1.82,10.462,10.421,640361.04,987747.73,1157530.05,0.52
000001,2017-08-23,10.63,10.98,10.9,10.59,1319151.88,0.25,2.35,10.574,10.438,752830.21,1015430.73,1138617.04,0.78
000001,2017-08-24,10.89,11.11,10.93,10.84,924248.62,0.03,0.28,10.676,10.469,826951.51,1011867.59,1125104.95,0.55
000001,2017-08-25,10.94,11.17,11.11,10.9,963940.0,0.18,1.65,10.81,10.578,896435.44,864197.27,1132342.19,0.57
000001,2017-08-28,11.1,11.54,11.35,11.1,1603938.25,0.24,2.16,10.988,10.691,1137392.11,908824.63,1133745.88,0.95
000001,2017-08-29,11.3,11.74,11.67,11.28,1357983.62,0.32,2.82,11.192,10.827,1233852.47,937106.76,1099859.57,0.8
000001,2017-08-30,11.68,11.7,11.43,11.35,1096674.75,-0.24,-2.06,11.298,10.936,1189357.05,971093.63,1051589.85,0.65
000001,2017-08-31,11.39,11.44,11.28,11.15,1151786.5,-0.15,-1.31,11.368,11.022,1234864.62,1030908.07,1059968.2,0.68
000001,2017-09-01,11.28,11.39,11.21,11.15,959976.88,-0.07,-0.62,11.388,11.099,1234072.0,1065253.72,1040269.47,0.57
000001,2017-09-04,11.18,11.72,11.72,11.17,1352325.62,0.51,4.55,11.462,11.225,1183749.47,1160570.79,1064853.54,0.8
000001,2017-09-05,11.68,11.94,11.64,11.6,1287518.75,-0.08,-0.68,11.456,11.324,1169656.5,1201754.49,1094751.11,0.76
000001,2017-09-06,11.59,11.88,11.7,11.48,791621.5,0.06,0.52,11.51,11.404,1108645.85,1149001.45,1082216.09,0.47
000001,2017-09-07,11.65,11.75,11.44,11.39,614187.25,-0.26,-2.22,11.542,11.455,1001126.0,1117995.31,1064931.45,0.36
000001,2017-09-08,11.46,11.64,11.49,11.38,481276.16,0.05,0.44,11.598,11.493,905385.86,1069728.93,966963.1,0.28
000001,2017-09-11,11.54,11.69,11.38,11.3,699472.75,-0.11,-0.96,11.53,11.496,774815.28,979282.38,944053.51,0.41
000001,2017-09-12,11.38,11.54,11.54,11.27,846183.44,0.16,1.41,11.51,11.483,686548.22,928102.36,932604.56,0.5
